file_size_bytes,file_size_label,PQSCAAS_mean,PQSCAAS_std,Sinha2026_mean,Sinha2026_std,Yu2021_mean,Yu2021_std,Bai2025_mean,Bai2025_std
1024,1 KB,0.008578,0.003257,8.221798,0.565611,0.334073,0.009607,0.112733,0.003552
10240,10 KB,0.072847,0.005839,9.138442,0.559522,0.340094,0.026675,0.117253,0.003380
102400,100 KB,0.671510,0.033049,13.574748,0.317378,0.762284,0.023509,0.162116,0.003176
1048576,1 MB,6.936787,0.223254,65.511061,0.335188,1.356867,0.008812,0.624370,0.002948
10485760,10 MB,70.593217,1.457592,528.517490,0.416982,10.572181,0.009599,5.231693,0.003036
104857600,100 MB,687.626170,33.988549,5136.493730,0.441212,102.734991,0.009562,51.312585,0.003136

